[ 4831.84912109],[ 4832.50439453],[ 4832.53515625],[ 4832.53613281],[ 4832.53613281],[ 4832.53613281],[ 4832.53613281],[ 4832.53613281],[ 4832.53613281],[ 4832.53613281]
[ 12266.48535156],[ 11952.78710938],[ 11779.57421875],[ 11683.43652344],[ 11629.99804688],[ 11600.28417969],[ 11583.76367188],[ 11574.578125],[ 11569.47167969],[ 11566.6328125]
[ 6641.16552734],[ 6680.95898438],[ 6720.9765625],[ 6761.28710938],[ 6803.03808594],[ 6846.28125],[ 6891.06982422],[ 6937.45947266],[ 6985.50634766],[ 7035.27099609]
[ 2656.66259766],[ 2639.38793945],[ 2635.64404297],[ 2634.8347168],[ 2634.65966797],[ 2634.62207031],[ 2634.61376953],[ 2634.61206055],[ 2634.61181641],[ 2634.61181641]
[ 5993.16796875],[ 5869.86376953],[ 5793.41308594],[ 5743.25],[ 5709.30273438],[ 5685.91455078],[ 5669.625],[ 5658.20263672],[ 5650.15722656],[ 5644.47412109]
[ 5539.10058594],[ 5479.14892578],[ 5441.60107422],[ 5416.99560547],[ 5400.43798828],[ 5389.11132812],[ 5381.27978516],[ 5375.82617188],[ 5372.01074219],[ 5369.33300781]
[ 10737.07421875],[ 10571.5546875],[ 10463.75585938],[ 10390.72363281],[ 10340.32910156],[ 10305.28222656],[ 10280.8359375],[ 10263.77148438],[ 10251.86230469],[ 10243.55566406]
[ 4417.7734375],[ 4357.42138672],[ 4318.09130859],[ 4291.06152344],[ 4271.91992188],[ 4258.12548828],[ 4248.07910156],[ 4240.71533203],[ 4235.29541016],[ 4231.29589844]
[ 5141.21826172],[ 4993.83837891],[ 4917.88916016],[ 4875.21337891],[ 4850.13720703],[ 4835.03173828],[ 4825.80126953],[ 4820.11181641],[ 4816.58691406],[ 4814.39550781]
[ 4554.62109375],[ 4444.84228516],[ 4407.38964844],[ 4395.06005859],[ 4391.06298828],[ 4389.7734375],[ 4389.35839844],[ 4389.22509766],[ 4389.18212891],[ 4389.16845703]
[ 7831.53955078],[ 7695.40576172],[ 7651.22802734],[ 7636.54003906],[ 7631.61914062],[ 7629.96679688],[ 7629.41162109],[ 7629.22509766],[ 7629.16210938],[ 7629.14111328]
[ 4788.31591797],[ 4687.89648438],[ 4632.13378906],[ 4598.98974609],[ 4578.49804688],[ 4565.53955078],[ 4557.23486328],[ 4551.87011719],[ 4548.38671875],[ 4546.11816406]
[ 8183.49511719],[ 8340.0078125],[ 8457.57714844],[ 8541.85058594],[ 8600.17871094],[ 8639.55859375],[ 8667.65136719],[ 8696.07226562],[ 8724.82519531],[ 8753.91503906]
[ 3838.96899414],[ 3897.18115234],[ 3891.05395508],[ 3891.70336914],[ 3891.63452148],[ 3891.64160156],[ 3891.64111328],[ 3891.64111328],[ 3891.64111328],[ 3891.64111328]
[ 7088.94921875],[ 7040.48388672],[ 7002.56835938],[ 6972.25732422],[ 6947.63476562],[ 6927.38964844],[ 6910.58740234],[ 6896.54003906],[ 6884.7265625],[ 6874.74560547]
[ 8950.27832031],[ 8875.18847656],[ 8847.52636719],[ 8836.54394531],[ 8832.06542969],[ 8830.21972656],[ 8829.45605469],[ 8829.13867188],[ 8829.0078125],[ 8828.953125]
[ 13435.63183594],[ 13313.5078125],[ 13255.43945312],[ 13224.6015625],[ 13207.3515625],[ 13197.43554688],[ 13191.64746094],[ 13188.24121094],[ 13186.22558594],[ 13185.03027344]
[ 5717.98388672],[ 5650.87890625],[ 5614.10595703],[ 5592.73974609],[ 5579.921875],[ 5572.08984375],[ 5567.25292969],[ 5564.24609375],[ 5562.36914062],[ 5561.1953125]
[ 10097.54589844],[ 10163.52636719],[ 10214.25097656],[ 10251.57421875],[ 10281.18652344],[ 10311.46972656],[ 10342.43847656],[ 10374.10839844],[ 10406.49609375],[ 10439.6171875]
[ 11548.69433594],[ 11445.63574219],[ 11371.65625],[ 11316.71289062],[ 11274.90722656],[ 11242.52441406],[ 11217.1015625],[ 11196.93457031],[ 11180.80664062],[ 11167.82714844]
[ 6086.11767578],[ 6059.90966797],[ 6041.37402344],[ 6028.03320312],[ 6018.3125],[ 6011.16601562],[ 6005.87792969],[ 6001.94628906],[ 5999.01269531],[ 5996.81787109]
[ 11203.59082031],[ 11014.87597656],[ 10922.96386719],[ 10874.48242188],[ 10847.98828125],[ 10833.25585938],[ 10824.98730469],[ 10820.32519531],[ 10817.68847656],[ 10816.1953125]
[ 4918.17089844],[ 4959.03417969],[ 4997.82373047],[ 5034.50195312],[ 5069.05908203],[ 5104.37304688],[ 5140.89208984],[ 5178.65722656],[ 5217.7109375],[ 5258.09716797]
[ 7092.46728516],[ 6832.15820312],[ 6697.26123047],[ 6625.60058594],[ 6587.35546875],[ 6566.94824219],[ 6556.0703125],[ 6550.27587891],[ 6547.19091797],[ 6545.54931641]
[ 26342.87304688],[ 25879.10351562],[ 25657.046875],[ 25542.95507812],[ 25482.39648438],[ 25449.71875],[ 25431.93359375],[ 25422.2109375],[ 25416.88476562],[ 25413.9609375]
