Karana Downs,5638.00,5773.00,5881.00,5977.00,6142.00,6182.00,6162.00,6248.00,6315.00,6328.00,6447.00
Leichhardt - One Mile,6132.00,6215.00,6269.00,6284.00,6505.00,6607.00,6911.00,7154.00,7317.00,7383.00,7544.00
North Ipswich - Tivoli,6079.00,6114.00,6161.00,6284.00,6428.00,6488.00,6526.00,6603.00,6635.00,6689.00,6797.00
Raceview,11298.00,11820.00,12453.00,13260.00,13918.00,14467.00,14635.00,15045.00,15327.00,15416.00,15612.00
Ripley,2468.00,2579.00,2654.00,2766.00,2865.00,2889.00,2920.00,2955.00,3051.00,3208.00,3400.00
Riverview,3367.00,3407.00,3390.00,3367.00,3348.00,3372.00,3409.00,3476.00,3505.00,3530.00,3570.00
Bellbird Park - Brookwater,4745.00,5025.00,5589.00,6019.00,6876.00,7716.00,8689.00,9241.00,9878.00,10742.00,11334.00
Camira - Gailes,9250.00,9274.00,9290.00,9297.00,9306.00,9331.00,9357.00,9421.00,9677.00,9896.00,10245.00
Carole Park,0.00,0.00,0.00,4.00,7.00,11.00,15.00,15.00,0.00,0.00,0.00
Collingwood Park - Redbank,5928.00,6502.00,7031.00,7364.00,7740.00,7918.00,7993.00,8519.00,8891.00,9046.00,9209.00
Goodna,7558.00,8128.00,8538.00,8843.00,9211.00,9394.00,9649.00,9952.00,10455.00,10841.00,11176.00
New Chum,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Redbank Plains,9406.00,9530.00,10275.00,11303.00,12723.00,13925.00,15376.00,16681.00,17448.00,18438.00,19269.00
Springfield,5459.00,5870.00,6196.00,6604.00,6762.00,6845.00,6867.00,7013.00,7243.00,7396.00,7619.00
Springfield Lakes,3853.00,4969.00,6745.00,8110.00,9223.00,10036.00,10548.00,10990.00,11830.00,12756.00,13328.00
Beaudesert,11063.00,11314.00,11566.00,11807.00,12223.00,12512.00,12705.00,12871.00,13159.00,13577.00,13735.00
Beenleigh,8271.00,8337.00,8324.00,8347.00,8380.00,8421.00,8532.00,8751.00,8810.00,8877.00,8917.00
Eagleby,9098.00,9379.00,9820.00,10436.00,11131.00,11842.00,12316.00,12954.00,13508.00,13940.00,14164.00
Edens Landing - Holmview,5897.00,6128.00,6186.00,6318.00,6468.00,6628.00,6765.00,6913.00,7145.00,7417.00,7577.00
Mount Warren Park,5896.00,6029.00,5987.00,5964.00,5944.00,5918.00,5879.00,6003.00,6054.00,6090.00,6227.00
Wolffdene - Bahrs Scrub,4920.00,5035.00,5088.00,5161.00,5282.00,5341.00,5479.00,5788.00,5992.00,6131.00,6287.00
Boronia Heights - Park Ridge,11284.00,11670.00,11733.00,11886.00,11961.00,12091.00,12145.00,12429.00,12532.00,12653.00,12757.00
Browns Plains,5478.00,5636.00,5909.00,6188.00,6338.00,6501.00,6890.00,7047.00,7228.00,7377.00,7455.00
Chambers Flat - Logan Reserve,3624.00,3760.00,3801.00,3849.00,3873.00,3897.00,3901.00,4013.00,4130.00,4197.00,4384.00
Crestmead,10041.00,10449.00,10947.00,11263.00,11531.00,11584.00,11559.00,11944.00,12306.00,12547.00,12774.00
Greenbank Military Camp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hillcrest,7277.00,7261.00,7422.00,7499.00,7647.00,7775.00,8020.00,8098.00,8292.00,8445.00,8518.00
Marsden,8977.00,9346.00,9627.00,10097.00,10708.00,10984.00,11759.00,12426.00,13069.00,13485.00,13890.00
Munruben - Park Ridge South,4787.00,4811.00,4809.00,4799.00,4793.00,4784.00,4753.00,4752.00,4681.00,4666.00,4643.00
Regents Park - Heritage Park,14195.00,14579.00,15044.00,15507.00,15968.00,16196.00,16098.00,16369.00,16483.00,16582.00,16646.00
Greenbank,9128.00,9438.00,9947.00,10577.00,11117.00,11583.00,12087.00,12395.00,12636.00,12882.00,12995.00
Jimboomba,16181.00,16733.00,17616.00,18384.00,19224.00,19666.00,20221.00,20694.00,21043.00,21326.00,22081.00
Logan Village,5753.00,5831.00,5800.00,5843.00,5944.00,6002.00,6025.00,6031.00,6259.00,6385.00,6629.00
Bethania - Waterford,5677.00,5974.00,6329.00,6768.00,7748.00,8355.00,8804.00,9241.00,9389.00,9614.00,9883.00
Cornubia - Carbrook,8019.00,8166.00,8217.00,8253.00,8288.00,8332.00,8372.00,8441.00,8455.00,8530.00,8720.00
Loganholme - Tanah Merah,10255.00,10263.00,10355.00,10506.00,10709.00,10899.00,11137.00,11258.00,11254.00,11246.00,11251.00
Loganlea,8359.00,8542.00,8789.00,9044.00,9251.00,9479.00,9655.00,9913.00,10263.00,10497.00,10686.00
Shailer Park,11493.00,11583.00,11613.00,11631.00,11666.00,11693.00,11728.00,11781.00,11902.00,11962.00,11984.00
Waterford West,6050.00,6214.00,6581.00,6911.00,7026.00,7119.00,7259.00,7610.00,7816.00,7889.00,8158.00
Daisy Hill,6229.00,6234.00,6224.00,6244.00,6305.00,6414.00,6502.00,6643.00,6681.00,6747.00,6702.00
Kingston,9610.00,9676.00,9778.00,10002.00,10308.00,10413.00,10572.00,10718.00,11045.00,11171.00,11101.00
Logan Central,6063.00,6174.00,6111.00,6157.00,6271.00,6279.00,6431.00,6499.00,6716.00,6692.00,6619.00
Rochedale South - Priestdale,15385.00,15482.00,15512.00,15551.00,15594.00,15618.00,15653.00,15887.00,16056.00,16231.00,16426.00
Slacks Creek,10084.00,10134.00,10235.00,10332.00,10462.00,10694.00,10810.00,10920.00,11092.00,11219.00,11018.00
Springwood,9355.00,9359.00,9303.00,9282.00,9269.00,9295.00,9322.00,9418.00,9404.00,9503.00,9560.00
Underwood,4437.00,4680.00,4823.00,5038.00,5208.00,5346.00,5580.00,5800.00,6175.00,6458.00,6756.00
Woodridge,12082.00,12213.00,12480.00,12791.00,12958.00,13040.00,13220.00,13370.00,13898.00,13941.00,13873.00
Beachmere - Sandstone Point,10956.00,11495.00,12108.00,12722.00,13175.00,13521.00,13846.00,14216.00,14544.00,14832.00,14934.00
Bribie Island,15826.00,16194.00,16513.00,16809.00,17220.00,17484.00,17609.00,17900.00,18017.00,18125.00,18189.00
Burpengary - East,3476.00,3572.00,3596.00,3678.00,3744.00,3778.00,3772.00,3765.00,3840.00,3856.00,3923.00
Caboolture,17739.00,18229.00,18890.00,20022.00,20909.00,22040.00,22993.00,24030.00,24847.00,25482.00,26036.00
Caboolture - South,12902.00,13235.00,14445.00,15542.00,16860.00,18087.00,19108.00,19910.00,20316.00,20739.00,21022.00
Elimbah,3346.00,3458.00,3573.00,3616.00,3779.00,3810.00,3813.00,3828.00,3854.00,3867.00,3889.00
Morayfield - East,5875.00,6098.00,6282.00,6561.00,6909.00,7187.00,7384.00,7654.00,7897.00,8046.00,8153.00
Wamuran,3137.00,3227.00,3268.00,3332.00,3472.00,3605.00,3689.00,3734.00,3741.00,3796.00,3907.00
Kilcoy,4241.00,4317.00,4390.00,4532.00,4748.00,4885.00,5006.00,5063.00,5205.00,5361.00,5450.00
Woodford - D`Aguilar,6066.00,6323.00,6285.00,6349.00,6508.00,6610.00,6678.00,6928.00,7262.00,7560.00,7793.00
Burpengary,11942.00,12121.00,12142.00,12510.00,12791.00,13186.00,13343.00,13430.00,13373.00,13476.00,13736.00
Deception Bay,20268.00,20717.00,21438.00,21828.00,22092.00,22368.00,22451.00,22681.00,22799.00,22963.00,23153.00
Morayfield,4672.00,4827.00,4858.00,4886.00,4917.00,4953.00,4980.00,5012.00,5129.00,5176.00,5203.00
Narangba,12131.00,12886.00,14063.00,15108.00,15896.00,16377.00,16695.00,17227.00,17784.00,18207.00,18561.00
Upper Caboolture,2529.00,2604.00,2677.00,2774.00,2845.00,2882.00,2902.00,3005.00,3096.00,3163.00,3215.00
Clontarf,7723.00,7703.00,7696.00,7785.00,7918.00,8094.00,8155.00,8193.00,8290.00,8376.00,8433.00
Margate - Woody Point,10666.00,10739.00,10955.00,11127.00,11291.00,11462.00,11566.00,11658.00,11672.00,11780.00,11837.00
Redcliffe,8970.00,9060.00,9129.00,9093.00,9178.00,9249.00,9489.00,9716.00,9817.00,9910.00,9835.00
Rothwell - Kippa-Ring,13889.00,14146.00,14773.00,15671.00,16263.00,16754.00,17172.00,17162.00,17244.00,17450.00,17720.00
Scarborough - Newport,10456.00,10646.00,11041.00,11256.00,11570.00,11662.00,11619.00,11846.00,12009.00,12075.00,12174.00
